,uri,rank,date
163,6l0FPdTdRwSqgz4odj4kLk,40.0,1960-07-09 00:00:00
164,6cdT25ZdXmRYLhFBbxaM9p,6.0,1960-08-20 00:00:00
165,3PiJTnBeB9ypfkLggij1lH,18.0,1960-07-23 00:00:00
166,3Nnd2p4M67XxYcqQhahKUX,30.0,1960-07-16 00:00:00
167,77tVY99BfvPoi5R8Qx4ATt,16.0,1960-08-13 00:00:00
168,6kbHbX79amRbJfdG3ZJ3kV,27.0,1960-07-30 00:00:00
169,78hr1LxCs9x51GtLU82708,6.0,1960-08-13 00:00:00
170,6kiugEsbNQ3aHoNW2mMtVQ,1.0,1960-08-13 00:00:00
171,5Wvea0L2ulNTcqg7fxUOHY,31.0,1960-07-23 00:00:00
172,6M8fNPuN938jj1e1DpZTQj,7.0,1960-09-10 00:00:00
173,4EUL6WeHpGltSOBSQwDWNA,36.0,1960-07-16 00:00:00
174,4s7lv96VHsksstqwrukoYD,34.0,1960-07-23 00:00:00
175,7hGOOdebH0x2WHXh907gGM,19.0,1960-08-13 00:00:00
176,3jTNxvot7QvKRycomnKlCE,7.0,1960-09-03 00:00:00
177,4u0nA6qebOUBlbtSDD06w7,24.0,1960-08-20 00:00:00
178,2cNCCZhBTFjnSqXFl924gJ,19.0,1960-08-06 00:00:00
179,5BiFkasgyyaDkJ6ViuoC7X,14.0,1960-08-13 00:00:00
180,7pW9Wj1U4t19HKlvxM6Pzw,1.0,1960-09-17 00:00:00
181,7fgZNjuJN74Clk4hyfuOC3,36.0,1960-07-30 00:00:00
182,74Qp7hzjPFQZUBMpNDqUIM,2.0,1960-09-03 00:00:00
183,0GRML5qVYv4JSzjvQWYIxK,30.0,1960-08-13 00:00:00
184,1NJpDhFfVWKsOYXNAbeRuk,12.0,1960-08-27 00:00:00
185,7AADaxkTg2lBmrdL2Zkef4,4.0,1960-09-10 00:00:00
186,4BbswtciArUND4s8zbumAq,30.0,1960-08-06 00:00:00
187,1d5qRUKrJqHCjJkNa9ZD8j,15.0,1960-08-27 00:00:00
188,6XhnrxJC9cu7QkniPr9UY8,31.0,1960-08-20 00:00:00
189,0LUWi58l0cfc9Gm2A8Wegw,10.0,1960-09-03 00:00:00
190,0M5EaPIXN3FneJ7exwpYNM,1.0,1962-01-27 00:00:00
191,18ByYX7YTYhackTEZuaUFF,16.0,1960-09-10 00:00:00
192,37UxQONhYhMJ2F9SX9fhHW,10.0,1960-10-29 00:00:00
193,3z05LqSd1koIKavCpmfXwT,35.0,1960-08-13 00:00:00
194,230e7gCclZGDdpxoq6WMOZ,32.0,1960-09-10 00:00:00
195,3lkD4dzxIUCOC0j7MmnQ2D,11.0,1960-09-17 00:00:00
196,4SolWAbtUfWh2ARhxmbhD9,37.0,1960-08-20 00:00:00
197,2dQHDLJ3OQcKXKmvKNfadT,7.0,1960-09-24 00:00:00
198,2tPBtp7TeOHRUsbrrDTxdH,26.0,1960-09-24 00:00:00
199,4kcTzSegbAtWgMQyNEWOMA,23.0,1960-09-17 00:00:00
200,4xOq9yg6BOobb5zJHVoEoj,1.0,1960-10-08 00:00:00
201,1AHBTr78vKLUqB01aifB6C,23.0,1960-09-10 00:00:00
202,0FTSCwGtwfiOcLulJHmUBD,35.0,1960-08-27 00:00:00
203,1LwUaevLy1Sj0XhhVDWGe6,8.0,1960-09-24 00:00:00
204,1sK10Me7qS9em2QTx6dYRe,2.0,1960-10-15 00:00:00
205,5ieygNBdjzHKu60WRhTL7p,17.0,1960-10-15 00:00:00
206,03wyWOwhY2YClrYmEd6huP,16.0,1960-10-08 00:00:00
207,3FypbEuYBVddqp0gA4rouM,28.0,1960-09-24 00:00:00
208,5dOC0aI0j54SJKLZJTQsvH,39.0,1960-09-17 00:00:00
209,5MXe6dKcR6iO33GWzVW8cr,38.0,1960-09-10 00:00:00
210,5s3lvjoko5otcZrprzcWeD,1.0,1960-10-15 00:00:00
211,4oLKoG3Z1JBnXBSh0tVP6i,5.0,1960-10-08 00:00:00
212,0PT502Gz0VXvmFT0D86eqH,6.0,1960-10-29 00:00:00
213,0Cn1apioq0RYhdNZbhWXjH,11.0,1960-10-01 00:00:00
214,69cikKSonWdugzCyc38K35,37.0,1960-09-10 00:00:00
215,3n9pB3aePjypY8TnE2aRce,7.0,1960-10-15 00:00:00
216,0P8Jw2GtMCW2chdbxvFWyV,21.0,1960-10-15 00:00:00
217,0VYRLpfd4YugkkfUnPT6fR,30.0,1960-10-01 00:00:00
218,0DUL6B8ALU2uzLxQDJEgMa,15.0,1960-10-15 00:00:00
219,391TUcoPonqYykPkSZ5Z9U,1.0,1960-11-12 00:00:00
220,6yj3zwjgUptj3LL0Q9PdX5,1.0,1960-10-29 00:00:00
221,1sU1lBFXKG9TT5oU1UmTiE,26.0,1960-10-01 00:00:00
222,0ONzoUSZ4vXxSZgDlbEQJP,27.0,1960-10-01 00:00:00
223,1VimmYjhyPMrRE6r9qC6xb,7.0,1960-10-29 00:00:00
224,51GwNhTbnsCo4ndH96zxQy,33.0,1960-10-08 00:00:00
225,4GOYqWBr9iuRmnsO8T1EQR,18.0,1960-10-29 00:00:00
226,5OvF4tVE55HW3lgmgpvNKB,36.0,1960-10-08 00:00:00
227,3TzJrDZNr2L0uZXZckskEP,11.0,1960-11-12 00:00:00
228,4hlztshI3JlcqLEIXoAFUr,27.0,1960-10-22 00:00:00
229,6f38XF5lEYAbUNt4jfIEWW,26.0,1960-10-22 00:00:00
230,1pYjkSHwMybHaM9aTrQSEV,13.0,1960-11-19 00:00:00
231,5pnvs9jplQQE7uxdyHhTta,1.0,1960-11-19 00:00:00
232,1jE8H1oy5MifAYcifQ5EbL,26.0,1960-10-15 00:00:00
233,3m9eJU9HVaYRYhFq6ZxcsT,20.0,1960-10-22 00:00:00
234,40tAvvBRe5Q8GQ0FTq81RK,3.0,1960-11-19 00:00:00
235,2NH3RgooS3Am8LcS5m8dwW,11.0,1960-11-05 00:00:00
236,3QUGcs2wxh0hs1cpQYejSf,36.0,1960-10-15 00:00:00
237,5R2DZitRTDYtrkCoJiddct,1.0,1960-11-26 00:00:00
238,7LRlsrrX3IT7nyLUz1fT94,20.0,1960-11-05 00:00:00
239,7EPj2koNvl0TlCo7EaqmSe,26.0,1960-11-05 00:00:00
240,2pZZAqrHtIY5A4TsE3gtsT,9.0,1960-11-12 00:00:00
241,2ev4jFiSgKr6XscO1qvAvU,5.0,1960-11-26 00:00:00
242,5efdzHjhTXm3P32utkjZsB,3.0,1960-12-24 00:00:00
243,2dl4fcTkQOdajg0f3mhcJ5,38.0,1960-10-29 00:00:00
244,1twupCV0qy4WxCQWx9vGwK,2.0,1960-12-10 00:00:00
245,0wz8o1o2WUZ030wy0s4rIP,21.0,1960-11-26 00:00:00
246,73RvYcaPMlehfso1x2v54v,7.0,1960-12-03 00:00:00
247,1Iw9cMdxuJ2YRWInITzOA8,27.0,1960-11-19 00:00:00
248,7rbvjRc6ZTVA3GUXDx3Xtr,1.0,1960-12-24 00:00:00
249,61HA1oeRgugjQ9xuVvclb4,5.0,1960-12-03 00:00:00
250,4tcUefTKbqai342LR9EWkI,13.0,1960-11-26 00:00:00
251,2oSJoVO0krEsWVxx88HpQf,2.0,1960-12-17 00:00:00
252,2TlRoD4DqwlLTpUAB9dfF9,39.0,1960-11-05 00:00:00
253,0rC3zp6AMdcSK19m9pPG8o,33.0,1960-12-10 00:00:00
254,5GORhAJidQPXLUJDC4nQ1U,6.0,1960-12-17 00:00:00
255,2LNYdsWkUIqesBOZrmy7c6,30.0,1960-11-19 00:00:00
256,3dyGFIZBs9Pu2OpDziod5H,21.0,1960-12-10 00:00:00
257,6f46rRQDmkTfCTkHAj8sxV,13.0,1960-12-10 00:00:00
258,20qTIgv6M5P7tHPdvw4gUf,13.0,1960-12-31 00:00:00
259,2Ymy3GFM8QXFvUhC45kEx1,4.0,1960-12-24 00:00:00
260,3heOkAfstVuhK57gYlJI2J,11.0,1960-12-31 00:00:00
261,7uXktLVq43HeS4fPU4nQna,13.0,1960-12-24 00:00:00
262,5V27UQOURZROSg3UCoHOGe,7.0,1961-01-07 00:00:00
263,3gUfYFuzANyyIBWKfoNXeS,31.0,1960-12-10 00:00:00
264,4xVasGst27QfPXUebCSBse,6.0,1961-01-07 00:00:00
265,5j2R4t1fiuZ4fGAZr96EIL,1.0,1961-01-28 00:00:00
266,6sI0fGyuL9Ohvx4o5PtY8a,35.0,1960-11-26 00:00:00
267,4AOrW4e7ftTwNctw3dOjow,23.0,1960-12-10 00:00:00
268,77ZbA94uJ77EBfKb8uDzr1,29.0,1960-12-17 00:00:00
269,0yjYsJKNX2dO7mxMywm9yP,21.0,1960-12-03 00:00:00
270,0IlJcNP9Vnss0x5zjI25JV,24.0,1960-12-03 00:00:00
271,0FoPhmaPfAO9BelgLlPTvM,19.0,1960-12-17 00:00:00
272,4pKUJwmq9mYcs1KNUsqAHH,2.0,1961-01-28 00:00:00
273,3zGlQD8iOvK9DtQaTc0wGP,39.0,1960-12-03 00:00:00
274,1i5s3EFI91N75IgyVwkOUi,36.0,1960-12-24 00:00:00
275,5uWTiJ1Ce5z5TcQLGZ6Tec,30.0,1960-12-24 00:00:00
276,1JjwzvuCVpxNVNlP0YpJnn,15.0,1960-12-24 00:00:00
277,2q9NdV3i3X35npkbY62fiE,40.0,1961-01-07 00:00:00
278,3HgywR4QAgY2V2nAgGsLie,5.0,1961-01-14 00:00:00
279,2oestiuuqV2BVobBNdffXq,13.0,1961-01-21 00:00:00
280,3k0Ow4RdqhAi9Xi4hymx2j,1.0,1961-02-11 00:00:00
281,42X4X46HVrOmwf0fhly9WC,26.0,1961-01-14 00:00:00
282,5qE15CZBE3m3Pt2YkFzy9E,34.0,1960-12-17 00:00:00
283,3ZmkxITr0cjKnG0U4PJ8HR,5.0,1961-02-18 00:00:00
284,7q9tBOCqhwCSD93hbG8KZC,8.0,1961-01-28 00:00:00
285,5FY281KIr9fkZJvmXUmy5x,26.0,1960-12-24 00:00:00
286,4WUMAkrw7HIUJduBxDPivx,27.0,1960-12-31 00:00:00
287,6q5UzeMm00DBIkKv8uL18e,11.0,1961-02-18 00:00:00
288,7aAAzR5gXOmNQGZzMibieV,21.0,1961-02-04 00:00:00
289,73AT24urbqP8dqsdh5Aiik,10.0,1961-02-18 00:00:00
290,15Kl8nAGtrnOvyb9MARwJd,17.0,1961-01-14 00:00:00
291,76lKgriw0Brq8ulAYNwugt,1.0,1961-02-25 00:00:00
292,2JxpPhUzCGpOVweEpMXOuF,39.0,1960-12-31 00:00:00
293,1t9fItYjFbcPvp0CUuFrX7,19.0,1961-01-21 00:00:00
294,6E7zHFyqTkh1PM2qN8h2vG,15.0,1961-02-11 00:00:00
295,1Pg2yx1drvE8uJhMCnIpGN,3.0,1961-02-18 00:00:00
296,3DGdMoC4DQlMTUdq62gmiJ,25.0,1961-01-14 00:00:00
297,0FXwpKYhiqYwHGdO3yKWuv,23.0,1961-01-14 00:00:00
298,1pyecAfVn5tT5Fl7pWTbep,26.0,1961-01-21 00:00:00
299,4dmHFU1lnFhn90jjE1ILfd,23.0,1961-01-28 00:00:00
